	P	Q	R
0	0.43	0.8	0.55
1	0.43559241970766865	0.8433025867465982	0.5824079826328391
2	0.44227319360225986	0.8598568790531138	0.6261249969516418
3	0.44889850438604906	0.8468278473615182	0.6807667978344975
4	0.45427637631396495	0.8031381958997046	0.7423895752882134
5	0.4572050331163251	0.7284771885575416	0.8030632918783195
6	0.45655158860847744	0.6262524753040625	0.8514060142878824
7	0.45146491212424744	0.5063536959462429	0.8772279148998788
8	0.44160586567742427	0.3830347025785786	0.8786800874854898
9	0.42722345230717346	0.27065485350681107	0.8585782346147082
10	0.40913773588993185	0.18376059448525395	0.8154665926752166
11	0.38876747373083814	0.1380299685559212	0.743423552512416
12	0.3680854204673335	0.14588326873738278	0.6367641394656413
13	0.34945809511335396	0.21864960009462214	0.4948267726634691
14	0.3357724047364149	0.3745132095504874	0.3259766051462391
15	0.3304997558975515	0.626314827268631	0.1549660150956969
16	0.3369458357478911	0.9487413724714641	0.05112473312870767
17	0.35142363052441916	0.9992469868158753	0.04739709858039996
18	0.36571217634757264	0.9990492875787326	0.058863569032592725
19	0.37963816268458483	0.9987567749755034	0.07504899223197527
20	0.39322219416229176	0.9983243257186348	0.09752056640773352
21	0.40647955307951056	0.9976675052044689	0.12874770071560224
22	0.4194187842411165	0.9966325910836477	0.17161295491710485
23	0.43203876654796736	0.9949660412838157	0.22897435099267197
24	0.4443212858754937	0.992116380243639	0.30319225029023705
25	0.45621371989632087	0.986799455740773	0.39566516387548123
26	0.46757612041978525	0.9755190872469204	0.5063545063608571
27	0.4780251508016587	0.9485118813634047	0.632785009828108
28	0.48659636716865995	0.8861569022816331	0.7670191291972598
29	0.4915251706064689	0.7709519111791266	0.8859961405649605
30	0.49086300725287313	0.6136514714604472	0.9410970088561922
31	0.48373445082166416	0.44917952675267786	0.9440884113238683
32	0.470356524690469	0.2936525665910386	0.9356171579008451
33	0.45137206139898656	0.15647787025011972	0.918092631230517
34	0.42801275336866695	0.060789425242407	0.8851272158531435
35	0.40277485390973794	0.0380109762160189	0.8268883284837304
36	0.3780653003499808	0.05244582220933453	0.734208010376719
37	0.35503488611333417	0.09670237753485506	0.6018303943478275
38	0.33542700267947445	0.20203956723026714	0.43142401438902445
39	0.3223082821202952	0.402452524834747	0.23705908749400253
40	0.3195832271362447	0.7076669604965986	0.06771099384197886
41	0.3299197069538252	0.9993374647587062	0.03525032277708663
42	0.3447831854373109	0.999328190867992	0.04263677806435908
43	0.35924546256379686	0.9991520585970732	0.05298061240416066
44	0.3733339125596836	0.9989040351514765	0.06700467161730356
45	0.38707156940439036	0.998543403637962	0.08634793248255707
46	0.40047632253649856	0.9980020999542453	0.11324927315867388
47	0.41356003999627	0.997164993854352	0.15044358354030468
48	0.4263263911342757	0.995835326106984	0.20086193794313417
49	0.4387665118044454	0.9936188611210895	0.26715454046297105
50	0.4508469341248012	0.9896675497578288	0.35121114819020705
51	0.46247805654177954	0.9817943765560923	0.4537220213894412
52	0.4734183417729846	0.9638231932973008	0.5735185442426446
53	0.4830183255397651	0.920475445777156	0.7057788253765686
54	0.48986586059512716	0.830264201540179	0.8363242035310897
55	0.49194991389180964	0.6882495801697633	0.9262342157102826
56	0.48778526834051056	0.5235285212419214	0.9451718828938552
57	0.47719678986116837	0.3629631029293353	0.9404022188934615
58	0.46066311013623473	0.21580103065758974	0.9275034272685472
59	0.4390793812906656	0.09663244396274813	0.9026554199752691
60	0.41431305976622546	0.04051129496917813	0.8572214590867903
61	0.3891851786510659	0.04319191851242524	0.7811812624866685
62	0.36524242241989197	0.07123949505304839	0.6671956101769643
63	0.34377463376341977	0.14399676697345293	0.5133070708186155
64	0.3272410871925655	0.29781266674432944	0.32691044207035724
65	0.31928934811943666	0.5568661853090198	0.13496935014156414
66	0.3236529870469756	0.8986953575891746	0.0361173876655957
67	0.33805971781218885	0.999389517580576	0.03884327419465091
68	0.352701138225837	0.9992394975594312	0.04788726481002323
69	0.3669567974081459	0.9990281270910902	0.06006465934493069
70	0.38085181352422315	0.9987252473505165	0.07674327037209594
71	0.39440645738215124	0.9982771112850312	0.09988481717602044
72	0.40763548249582826	0.9975937971542895	0.13202568469990447
73	0.4205467565675166	0.9965146603174315	0.17605824867546152
74	0.4331377999399359	0.9947773971770008	0.2348246049633495
75	0.44538874336195045	0.9917728850554668	0.31061529354134854
76	0.45724200206885157	0.9861190300307668	0.4047248316780298
77	0.46854468273331107	0.9739780267008521	0.5169534923020871
