ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
