observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG		condition1	3.0	0		sigma_3PG	log10	normal
3PG		condition1	2.7127140398640184	20		sigma_3PG	log10	normal
3PG		condition1	2.5226804330491355	40		sigma_3PG	log10	normal
3PG		condition1	2.3414966789758793	60		sigma_3PG	log10	normal
3PG		condition1	2.1638906902418893	80		sigma_3PG	log10	normal
3PG		condition1	1.989460466035649	100		sigma_3PG	log10	normal
3PG		condition1	1.818589233415021	120		sigma_3PG	log10	normal
3PG		condition1	1.5706750481841845	150		sigma_3PG	log10	normal
PYR		condition1	0.4	0		sigma_PYR	log10	normal
PYR		condition1	0.9821981538225292	20		sigma_PYR	log10	normal
PYR		condition1	1.5291369435101698	40		sigma_PYR	log10	normal
PYR		condition1	2.063155714929815	60		sigma_PYR	log10	normal
PYR		condition1	2.584555893030187	80		sigma_PYR	log10	normal
PYR		condition1	3.0920992616481957	100		sigma_PYR	log10	normal
PYR		condition1	3.5839156108743104	120		sigma_PYR	log10	normal
PYR		condition1	4.285772288778108	150		sigma_PYR	log10	normal
GAP		condition1	0.0	0		sigma_GAP	log10	normal
GAP		condition1	0.14757039840958266	20		sigma_GAP	log10	normal
GAP		condition1	0.16173980868697652	40		sigma_GAP	log10	normal
GAP		condition1	0.1620448188423993	60		sigma_GAP	log10	normal
GAP		condition1	0.16014307468049438	80		sigma_GAP	log10	normal
GAP		condition1	0.15765604319323193	100		sigma_GAP	log10	normal
GAP		condition1	0.15473904026390917	120		sigma_GAP	log10	normal
GAP		condition1	0.14920934230287505	150		sigma_GAP	log10	normal
