observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG		condition1	3.0	0		sigma_3PG	log10	normal
3PG		condition1	2.372746384612556	20		sigma_3PG	log10	normal
3PG		condition1	1.8298099359447153	40		sigma_3PG	log10	normal
3PG		condition1	1.3260806758708423	60		sigma_3PG	log10	normal
3PG		condition1	0.8630535887785806	80		sigma_3PG	log10	normal
3PG		condition1	0.4606241769653373	100		sigma_3PG	log10	normal
3PG		condition1	0.16161303444956063	120		sigma_3PG	log10	normal
3PG		condition1	0.006689393574241585	150		sigma_3PG	log10	normal
PYR		condition1	0.4	0		sigma_PYR	log10	normal
PYR		condition1	1.0922428085321263	20		sigma_PYR	log10	normal
PYR		condition1	1.7379142416349762	40		sigma_PYR	log10	normal
PYR		condition1	2.3442302483211077	60		sigma_PYR	log10	normal
PYR		condition1	2.899090146107688	80		sigma_PYR	log10	normal
PYR		condition1	3.375317438850277	100		sigma_PYR	log10	normal
PYR		condition1	3.721475020751353	120		sigma_PYR	log10	normal
PYR		condition1	3.89381340288393	150		sigma_PYR	log10	normal
GAP		condition1	0.0	0		sigma_GAP	log10	normal
GAP		condition1	0.3665726030299673	20		sigma_GAP	log10	normal
GAP		condition1	0.44387918162644724	40		sigma_GAP	log10	normal
GAP		condition1	0.446702252546167	60		sigma_GAP	log10	normal
GAP		condition1	0.42278315838421254	80		sigma_GAP	log10	normal
GAP		condition1	0.3771744542990659	100		sigma_GAP	log10	normal
GAP		condition1	0.2971545087998075	120		sigma_GAP	log10	normal
GAP		condition1	0.11088528456796808	150		sigma_GAP	log10	normal
